"Broad_ecosystem_function","Ecological_process","Gene_family","Genes"
"Antibiotic resistance",8,12,2728
"Bioleaching",9,15,258
"Carbon cycling",15,55,9622
"Energy process",5,16,948
"Metal Resistance",18,49,7964
"Nitrogen",9,23,8070
"Organic Remediation",28,166,12265
"Other",6,9,2300
"Phosphorus",1,3,1174
"Stress",15,46,16427
"Sulphur",7,15,2765
"Virulence",13,13,3107
