"","funct_category","funct_process","funct_trait","best_model","mod1_Intercept","mod1_Rank","mod2_Intercept","mod2_Rank","mod2_Ranksq","mod3_Intercept","mod3_Rank","mod1_pval_Intercept","mod1_pval_Rank","mod2_pval_Intercept","mod2_pval_Rank","mod2_pval_Ranksq","mod3_pval_Intercept","mod3_pval_Rank","mod1_aov_pval_Rank","mod2_aov_pval_Rank","mod2_aov_pval_Ranksq","mod3_aov_pval_Rank","mod1_aov_fval_Rank","mod2_aov_fval_Rank","mod2_aov_fval_Ranksq","mod3_aov_fval_Rank","mod1_df","mod1_AIC","mod1_r2m","mod1_r2c","mod2_df","mod2_AIC","mod2_r2m","mod2_r2c","mod3_df","mod3_AIC","mod3_r2m","mod3_r2c","n","Type","Shape"
"11","Metal resistance","copper","CusF","mod3",1.79956459509288,0.0106544151869981,0.691413543756364,0.495441268988284,-0.0425588344774937,0.481761463039995,0.000174536764693149,6.71162331756382e-52,0.532641401837724,0.000690972810637708,3.69524891109683e-10,3.49785561533615e-10,6.46779023856702e-20,0.982735322137221,0.532641401837724,0.519771205424697,3.49785561533615e-10,0.982735322137221,0.389787735654446,0.414822554823977,40.6921627633917,0.000468658134429928,2,90.831995233296,0.00063032692871873,-0.000986776102140929,3,53.2338599067528,0.0624624661875292,0.0594234466289799,2,-838.984781509156,7.58345920751844e-07,-0.00161736340432861,10,"No relation","No relation"
"12","Carbon cycling","carbon_degradation","acetylglucosaminidase","mod2",0.929976791729897,-0.00412255957293677,1.35896837373366,-0.218618350574811,0.0194996173638068,-0.124901425505872,-0.000617407396373183,0,0.10259779364924,0,1.50307160192453e-105,1.15657751671238e-106,4.82450522596684e-13,0.822217496898659,0.10259779364924,0.0378674041820058,1.15657751671238e-106,0.822217496898659,2.66958949288698,4.32247292213009,618.914352292691,0.050513877523207,2,-2944.52034185702,0.00266780315992196,0.00166847230136469,3,-3425.4258097528,0.384657857120477,0.383423469672374,2,-2774.48927752085,5.06125459792167e-05,-0.000951340748062801,390,"Quadratic","U shaped"
"13","Carbon cycling","carbon_degradation","mannanase","mod2",0.898750070107971,-0.0028343361971119,1.17459101405077,-0.140754808168508,0.0125382247246724,-0.172442583582651,-0.00309696342692154,1.08861923240974e-216,0.421773591597153,1.26343228382121e-158,6.83292854104414e-20,4.39460765333292e-20,1.16051766259474e-11,0.444398250339286,0.421773591597153,0.402256993402252,4.39460765333286e-20,0.444398250339286,0.645900408224895,0.70216804081719,87.9407986309203,0.585364211099655,2,-2274.81859913962,0.000646776207623607,-0.000354579728040205,3,-2357.34853018989,0.0816502012107082,0.0798079749343004,2,-1999.17885545615,0.00058619346134929,-0.000415223178469093,141,"Quadratic","U shaped"
"14","Carbon cycling","carbon_degradation","endochitinase","mod2",0.870190507098218,0.00803504695812739,1.25543390564834,-0.184586652316928,0.0175110635704596,-0.164798853442835,0.00902682704757031,0,0.000364619094164604,0,6.28224846776052e-98,5.24076028951867e-109,6.1878512448741e-25,0.000332208889171549,0.000364619094164605,5.33899980614205e-06,5.24076028951837e-109,0.000332208889171549,12.7929683629865,20.9388751820534,636.475268503746,12.9694515673672,2,-3176.81406790404,0.012656368577341,0.0116670463013663,3,-3668.52838868123,0.397369755447795,0.396160868297239,2,-2957.73894068643,0.0128287274627932,0.0118395778911126,618,"Quadratic","U shaped"
"15","Carbon cycling","carbon_degradation","exoglucanase","mod2",0.906989934433507,0.00982940871561966,1.08281516173917,-0.0780832049372126,0.00799205578662111,-0.149949174395887,0.0121876877595798,7.84650301818356e-257,0.00153090884231045,2.91371741844459e-165,9.99772076165112e-09,4.03827943112741e-11,2.22613687015332e-13,0.000186785228408406,0.00153090884231045,0.00120856765294608,4.03827943112739e-11,0.000186785228408406,10.0967989063842,10.5377512112113,44.5851406270185,14.0647340141965,2,-2537.00495226577,0.0100157037670763,0.00902373553437785,3,-2578.75318774539,0.0523920658564148,0.050491147232255,2,-2438.36212764611,0.0138970695663025,0.0129089904776915,147,"Quadratic","U shaped"
"16","Carbon cycling","carbon_degradation","phenol_oxidase_fungi","mod2",1.00769265661977,0.0125536067977675,1.0881810950425,-0.0274729299275856,0.00362384156364266,-0.0935905959856773,0.00757100837160098,5.4423073911096e-125,0.0298365756639948,1.17107823567942e-59,0.286943837659131,0.11157760700926,0.0127993970921547,0.205619093537513,0.0298365756639948,0.0297047674526835,0.11157760700926,0.205619093537513,4.73294760030861,4.74061847342122,2.5364606424704,1.60420732533,2,-1270.07942138824,0.00496775892156314,0.00391814685291503,3,-1270.62051574318,0.00762575071239644,0.00552992336437619,2,-1203.05225108492,0.00168934311048224,0.000636272797307713,41,"Quadratic","U shaped"
"17","Carbon cycling","carbon_degradation","ara","mod2",0.818350105950033,0.0199134971269891,1.27753292506762,-0.209677912431801,0.0208719463235263,-0.233041522644454,0.0219093739689524,5.2892794098421e-279,4.06414783286411e-14,0,1.75189051026888e-98,5.11462406015679e-118,5.13261916511903e-32,2.09523716237401e-12,4.06414783286413e-14,1.40721624398696e-22,5.1146240601562e-118,2.09523716237402e-12,58.8347949499428,100.384084027428,705.790261181501,50.661282185729,2,-2887.48201322089,0.0556707587894377,0.0547245371048578,3,-3420.75475789995,0.447086188504706,0.445977033416451,2,-2546.87687447988,0.0483104345000089,0.0473568377409909,426,"Quadratic","U shaped"
"18","Carbon cycling","carbon_fixation","rubisco","mod2",0.836040842726366,0.0218586924793877,1.09711713324759,-0.108679452781223,0.0118671041146009,-0.172726157354974,0.0199152269308436,0,6.44892907906887e-28,0,4.72147809004273e-43,9.8502154003774e-62,1.00717608491603e-39,5.73128053946792e-22,6.44892907906896e-28,1.34725119222672e-35,9.85021540037683e-62,5.73128053946796e-22,127.536574449283,167.877300484978,316.674501667236,97.3225568791803,2,-3474.74992804691,0.113311799318192,0.112423334187249,3,-3748.58261081689,0.327056942219852,0.325707006296521,2,-3390.60564870311,0.0888528737657647,0.0879399006933856,361,"Quadratic","U shaped"
"19","Energy process","energy_process","cytochrome","mod2",0.940902131037265,0.00477879634371479,1.17066187617062,-0.110101076222961,0.0104436247787887,-0.0783334105801224,0.00509044563944537,0,0.0125621049568821,0,1.31593915625852e-42,5.48381258998448e-48,1.1254459358659e-09,0.013323405329412,0.0125621049568821,0.00554695040047551,5.48381258998424e-48,0.013323405329412,6.25238009161234,7.72552409154792,236.142088355761,6.14757815361837,2,-3500.12887951033,0.00622590517638793,0.00523013955031204,3,-3710.69884399378,0.196529919873032,0.194918144386318,2,-3356.87153203919,0.00612218590908942,0.005126316355892,501,"Quadratic","U shaped"
"20","Metal resistance","tellurium","TerD","mod2",1.06766344457984,-0.0180243813041924,1.3378286513595,-0.153106984694017,0.0122802366718023,-0.000458230778114958,-0.0129680461870159,0,6.61985492084716e-10,4.49309849464382e-249,5.60493149472867e-34,1.71140056769174e-28,0.981343177549282,4.32913970243276e-05,6.61985492084718e-10,5.55322279397689e-11,1.71140056769174e-28,4.32913970243275e-05,38.8871348222671,43.9338279069523,130.518405548145,16.8707120435184,2,-2672.7568363354,0.0375037296888951,0.0365393045683429,3,-2793.78046182837,0.14891963024439,0.147212347657117,2,-2496.1464925679,0.0166235086334773,0.0156381614477393,192,"Quadratic","U shaped"
